,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
1021,Ingredient_Q,Post-production,Global,Global,Global Post-production,2023,ASM1,0.4,15000,6000,9000,4,2.5
84,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2022,ABR,0.65,15000,9750,5250,4,4.0
1265,Ingredient_T,Pre-production,EU,EU,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
1222,Ingredient_S,Pre-production,US,US,Bottle,2019,AML23,0.25,15000,3750,11250,4,2.5
440,Ingredient_J,Pre-production,US,US,Lyo Vial Kit,2022,ADL,1.0,15000,15000,0,4,4.0
16,Ingredient_A,In Progress,US,US,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
859,Ingredient_O,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,2.5
994,Ingredient_Q,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
480,Ingredient_K,Pre-production,EU,EU,30cc,2021,ADL,1.0,15000,15000,0,4,4.0
820,Ingredient_N,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
615,Ingredient_L,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
93,Ingredient_B,In Progress,JAPAC,JAPAC,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,4.0
1200,Ingredient_S,Pre-production,EU,EU,Blister,2022,AML23,0.25,15000,3750,11250,4,2.5
794,Ingredient_N,Post-production,Global,Global,Global Post-production,2021,AML7,0.25,15000,3750,11250,4,2.5
1312,Ingredient_T,In Progress,US,US,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
365,Ingredient_H,Pre-production,US,US,Syringe,2022,"Patheon, IT",0.6,15000,9000,6000,4,4.0
284,Ingredient_F,Pre-production,US,US,Reusable Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
529,Ingredient_K,Pre-production,US,US,30cc,2020,ADL,1.0,15000,15000,0,4,4.0
1196,Ingredient_R,In Progress,US,US,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
368,Ingredient_H,Post-production,Global,Global,Global Post-production,2020,ARI5,1.0,15000,15000,0,4,4.0
844,Ingredient_N,In Progress,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
1272,Ingredient_T,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
1314,Ingredient_T,In Progress,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
129,Ingredient_C,Pre-production,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
105,Ingredient_C,Pre-production,EU,EU,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
849,Ingredient_O,Pre-production,EU,EU,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2021,ADL PM2,1.0,15000,15000,0,4,2.5
414,Ingredient_I,In Progress,US,US,Vial,2020,LDC,0.35,15000,5250,9750,4,4.0
1162,Ingredient_R,In Progress,ICON - TMEA,ICON - TMEA,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,2.5
1108,Ingredient_R,Pre-production,JAPAC,JAPAC,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,2.5
344,Ingredient_G,In Progress,US,US,Vial,2022,AML1,0.25,15000,3750,11250,4,4.0
1289,Ingredient_T,Post-production,Global,Global,Global Post-production,2021,ARI5,1.0,15000,15000,0,4,2.5
887,Ingredient_O,In Progress,EU,EU,Lyo Vial Kit,2019,ABR,0.65,15000,9750,5250,4,2.5
13,Ingredient_A,In Progress,JAPAC,JAPAC,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
1002,Ingredient_Q,Pre-production,JAPAC,JAPAC,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
370,Ingredient_H,Post-production,Global,Global,Global Post-production,2022,ARI5,1.0,15000,15000,0,4,4.0
668,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,OnPro,2020,AML14,0.8,15000,12000,3000,4,2.5
955,Ingredient_P,In Progress,ICON - TMEA,ICON - TMEA,Vial,2022,ABR,0.65,15000,9750,5250,4,2.5
599,Ingredient_K,In Progress,US,US,30cc,2020,AML1,0.25,15000,3750,11250,4,4.0
907,Ingredient_O,In Progress,US,US,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,2.5
185,Ingredient_D,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,4.0
411,Ingredient_I,In Progress,EU,EU,Vial,2022,LDC,0.35,15000,5250,9750,4,4.0
502,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,50cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
906,Ingredient_O,In Progress,JAPAC,JAPAC,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
763,Ingredient_N,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
522,Ingredient_K,Pre-production,JAPAC,JAPAC,50cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
575,Ingredient_K,In Progress,ICON - TMEA,ICON - TMEA,50cc,2021,Sharp,0.35,15000,5250,9750,4,4.0
133,Ingredient_C,Pre-production,US,US,Vial,2021,AML14,0.8,15000,12000,3000,4,4.0
627,Ingredient_L,Pre-production,US,US,Vial,2021,AML14,0.8,15000,12000,3000,4,4.0
531,Ingredient_K,Pre-production,US,US,30cc,2022,ADL,1.0,15000,15000,0,4,4.0
733,Ingredient_M,In Progress,US,US,OnPro,2020,AML1,0.25,15000,3750,11250,4,2.5
269,Ingredient_F,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
1257,Ingredient_S,In Progress,US,US,Bottle,2019,AML23,0.25,15000,3750,11250,4,2.5
1301,Ingredient_T,In Progress,ICON - LACAN,ICON - LACAN,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
511,Ingredient_K,Pre-production,JAPAC,JAPAC,10cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
204,Ingredient_D,Post-production,Global,Global,Global Post-production,2022,"Lonza, UK",1.0,15000,15000,0,4,4.0
921,Ingredient_P,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1007,Ingredient_Q,Pre-production,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
784,Ingredient_N,Pre-production,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
455,Ingredient_J,In Progress,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,4.0
30,Ingredient_B,Pre-production,ICON - LACAN,ICON - LACAN,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
39,Ingredient_B,Pre-production,ICON - TMEA,ICON - TMEA,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,4.0
1031,Ingredient_Q,In Progress,EU,EU,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
339,Ingredient_G,Post-production,Global,Global,Global Post-production,2022,ATO7,0.1,15000,1500,13500,4,4.0
799,Ingredient_N,In Progress,EU,EU,Syringe,2021,ABR,0.65,15000,9750,5250,4,2.5
448,Ingredient_J,Post-production,Global,Global,Global Post-production,2023,ARI5,1.0,15000,15000,0,4,4.0
1029,Ingredient_Q,In Progress,EU,EU,Vial,2021,ABR,0.65,15000,9750,5250,4,2.5
591,Ingredient_K,In Progress,JAPAC,JAPAC,50cc,2022,AML1,0.25,15000,3750,11250,4,4.0
839,Ingredient_N,In Progress,US,US,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
854,Ingredient_O,Pre-production,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
516,Ingredient_K,Pre-production,JAPAC,JAPAC,30cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
122,Ingredient_C,Pre-production,JAPAC,JAPAC,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
1198,Ingredient_S,Pre-production,EU,EU,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
1250,Ingredient_S,In Progress,ICON - TMEA,ICON - TMEA,Blister,2022,"PCI, UK",0.3,15000,4500,10500,4,2.5
594,Ingredient_K,In Progress,US,US,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
855,Ingredient_O,Pre-production,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2022,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1005,Ingredient_Q,Pre-production,JAPAC,JAPAC,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
938,Ingredient_P,Post-production,Global,Global,Global Post-production,2020,"Bachem, CH",1.0,15000,15000,0,4,2.5
285,Ingredient_F,Pre-production,US,US,Reusable Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
790,Ingredient_N,Pre-production,US,US,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
59,Ingredient_B,Post-production,Global,Global,Global Post-production,2020,ATO23,1.0,15000,15000,0,4,4.0
747,Ingredient_N,Pre-production,EU,EU,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
418,Ingredient_J,Pre-production,EU,EU,Lyo Vial Kit,2019,ADL,1.0,15000,15000,0,4,4.0
1055,Ingredient_Q,In Progress,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
275,Ingredient_F,Pre-production,US,US,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
1271,Ingredient_T,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
607,Ingredient_K,In Progress,US,US,50cc,2023,AML1,0.25,15000,3750,11250,4,4.0
1000,Ingredient_Q,Pre-production,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
891,Ingredient_O,In Progress,EU,EU,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
407,Ingredient_I,Post-production,Global,Global,Global Post-production,2023,AWM,1.0,15000,15000,0,4,4.0
93,Ingredient_B,In Progress,JAPAC,JAPAC,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,4.0
404,Ingredient_I,Post-production,Global,Global,Global Post-production,2020,AWM,1.0,15000,15000,0,4,4.0
630,Ingredient_L,Post-production,Global,Global,Global Post-production,2019,ARI5,1.0,15000,15000,0,4,4.0
377,Ingredient_H,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
1218,Ingredient_S,Pre-production,JAPAC,JAPAC,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
784,Ingredient_N,Pre-production,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
55,Ingredient_B,Pre-production,US,US,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
