,Unnamed: 0,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
15,15,ProductA,FDP,US,US,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
546,546,ProductK,FDP,EU,EU,10cc,2022,ABR,0.65,15000,9750,5250,4,4.0
1018,1018,ProductQ,DS,Global,Global,Global DS,2020,ASM1,0.4,15000,6000,9000,4,2.5
1189,1189,ProductR,FDP,US,US,Pushtronex,2021,"PCI, US",0.3,15000,4500,10500,4,2.5
591,591,ProductK,FDP,JAPAC,JAPAC,50cc,2022,AML1,0.25,15000,3750,11250,4,4.0
832,832,ProductN,FDP,JAPAC,JAPAC,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
1033,1033,ProductQ,FDP,ICON - LACAN,ICON - LACAN,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
184,184,ProductD,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,4.0
1003,1003,ProductQ,DP,JAPAC,JAPAC,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
554,554,ProductK,FDP,EU,EU,50cc,2020,ABR,0.65,15000,9750,5250,4,4.0
261,261,ProductF,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2019,AML14,0.8,15000,12000,3000,4,4.0
835,835,ProductN,FDP,JAPAC,JAPAC,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
993,993,ProductQ,DP,ICON - TMEA,ICON - TMEA,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
488,488,ProductK,DP,ICON - LACAN,ICON - LACAN,10cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
203,203,ProductD,DS,Global,Global,Global DS,2021,"Lonza, UK",1.0,15000,15000,0,4,4.0
12,12,ProductA,FDP,JAPAC,JAPAC,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,4.0
867,867,ProductO,DP,JAPAC,JAPAC,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,2.5
1223,1223,ProductS,DP,US,US,Bottle,2020,AML23,0.25,15000,3750,11250,4,2.5
1015,1015,ProductQ,DP,US,US,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
1146,1146,ProductR,FDP,EU,EU,Pushtronex,2023,"PCI, US",0.3,15000,4500,10500,4,2.5
981,981,ProductQ,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
1267,1267,ProductT,DP,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
400,400,ProductI,DP,US,US,Vial,2021,AWM,0.98,15000,14700,300,4,4.0
1122,1122,ProductR,DP,US,US,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
402,402,ProductI,DP,US,US,Vial,2023,AWM,0.98,15000,14700,300,4,4.0
869,869,ProductO,DP,JAPAC,JAPAC,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,2.5
817,817,ProductN,FDP,ICON - TMEA,ICON - TMEA,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
627,627,ProductL,DP,US,US,Vial,2021,AML14,0.8,15000,12000,3000,4,4.0
1280,1280,ProductT,DP,JAPAC,JAPAC,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
226,226,ProductD,FDP,US,US,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,4.0
1077,1077,ProductR,DP,EU,EU,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
526,526,ProductK,DP,US,US,10cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1107,1107,ProductR,DP,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
918,918,ProductP,DP,ICON - LACAN,ICON - LACAN,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,2.5
1095,1095,ProductR,DP,ICON - LACAN,ICON - LACAN,Pushtronex,2022,"Patheon, IT",0.6,15000,9000,6000,4,2.5
559,559,ProductK,FDP,ICON - LACAN,ICON - LACAN,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
548,548,ProductK,FDP,EU,EU,30cc,2019,ABR,0.65,15000,9750,5250,4,4.0
743,743,ProductN,DP,EU,EU,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
943,943,ProductP,FDP,EU,EU,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
1157,1157,ProductR,FDP,ICON - LACAN,ICON - LACAN,Pushtronex,2019,"PCI, US",0.3,15000,4500,10500,4,2.5
795,795,ProductN,DS,Global,Global,Global DS,2022,AML7,0.25,15000,3750,11250,4,2.5
906,906,ProductO,FDP,JAPAC,JAPAC,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
285,285,ProductF,DP,US,US,Reusable Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
250,250,ProductE,FDP,US,US,Bottle,2023,AML23,0.25,15000,3750,11250,4,4.0
1051,1051,ProductQ,FDP,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
1105,1105,ProductR,DP,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
716,716,ProductM,FDP,ICON - LACAN,ICON - LACAN,OnPro,2023,AML1,0.25,15000,3750,11250,4,2.5
756,756,ProductN,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
9,9,ProductA,DS,Global,Global,Global DS,2021,ASM1,0.4,15000,6000,9000,4,4.0
301,301,ProductF,FDP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2019,"PCI, US",0.3,15000,4500,10500,4,4.0
711,711,ProductM,FDP,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
36,36,ProductB,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
342,342,ProductG,FDP,US,US,Vial,2020,AML1,0.25,15000,3750,11250,4,4.0
907,907,ProductO,FDP,US,US,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,2.5
244,244,ProductE,DS,Global,Global,Global DS,2022,"FIS, IT",1.0,15000,15000,0,4,4.0
959,959,ProductP,FDP,JAPAC,JAPAC,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
901,901,ProductO,FDP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
810,810,ProductN,FDP,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
